sl.no.,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
1,-0.02,-0.05,0.08,0.11,-1.20,-0.10,-0.13,0.11
2,0.40,-0.05,-0.26,0.56,-1.09,-0.28,-0.12,0.11
3,0.91,-0.04,0.15,0.58,-0.69,-0.40,-0.10,0.11
4,1.20,-0.04,0.16,0.34,-0.15,-0.44,-0.06,0.11
5,1.18,-0.04,-0.01,0.06,0.37,-0.38,-0.01,0.12
6,1.04,-0.03,-0.10,-0.08,0.79,-0.23,0.02,0.14
7,0.71,-0.04,-0.02,-0.19,1.04,-0.03,0.04,0.15
8,0.34,-0.04,-0.01,-0.44,1.05,0.17,0.05,0.16
9,-0.31,-0.04,0.04,-0.46,0.79,0.30,0.03,0.17
10,-1.28,-0.03,0.01,-0.04,0.26,0.32,-0.01,0.17
11,-1.02,-0.03,-0.27,0.35,-0.43,0.25,-0.05,0.16
12,-0.66,-0.02,0.20,0.38,-1.02,0.11,-0.09,0.15
13,0.03,-0.02,0.08,0.18,-1.30,-0.04,-0.10,0.15
14,0.71,-0.01,0.02,0.00,-1.16,-0.18,-0.08,0.14
15,1.22,-0.01,0.00,-0.02,-0.63,-0.27,-0.04,0.13
16,1.38,-0.01,0.00,-0.11,0.05,-0.29,0.01,0.13
17,1.34,-0.01,-0.06,-0.40,0.63,-0.24,0.06,0.14
18,1.25,-0.01,-0.05,-0.46,0.93,-0.11,0.10,0.15
19,0.94,-0.01,0.03,-0.15,0.90,0.07,0.12,0.16
20,0.33,-0.01,0.03,0.21,0.58,0.24,0.12,0.17
21,-0.68,-0.01,0.01,0.44,0.18,0.35,0.10,0.17
22,-1.47,-0.01,-0.12,0.48,-0.14,0.36,0.05,0.16
23,-1.95,0.00,-0.02,0.28,-0.27,0.28,-0.01,0.15
24,-1.65,0.00,-0.02,-0.02,-0.16,0.16,-0.07,0.13
25,-0.54,0.01,0.04,-0.18,0.08,0.02,-0.10,0.11
26,0.12,0.01,0.26,-0.13,0.30,-0.10,-0.10,0.09
27,0.59,0.02,-0.04,-0.04,0.37,-0.18,-0.08,0.08
28,0.85,0.02,-0.10,-0.10,0.20,-0.21,-0.04,0.07
29,1.01,0.02,-0.05,-0.30,-0.18,-0.15,-0.01,0.07
30,0.96,0.02,0.02,-0.50,-0.59,-0.03,0.02,0.07
31,0.66,0.02,0.02,-0.38,-0.91,0.14,0.03,0.07
32,0.22,0.02,-0.02,0.15,-0.96,0.28,0.02,0.07
33,-0.37,0.02,0.00,0.63,-0.72,0.36,0.00,0.06
34,-1.04,0.02,0.00,0.62,-0.28,0.34,-0.05,0.05
35,-1.60,0.03,-0.03,0.31,0.24,0.23,-0.10,0.03
36,-1.25,0.03,-0.12,0.02,0.70,0.05,-0.14,0.01
37,-0.40,0.03,0.10,-0.15,1.03,-0.16,-0.16,-0.02
38,0.41,0.03,0.16,-0.20,1.18,-0.39,-0.14,-0.04
39,0.81,0.04,0.05,-0.16,1.08,-0.59,-0.10,-0.05
40,0.97,0.04,-0.10,-0.10,0.68,-0.72,-0.03,-0.06
41,0.96,0.03,-0.07,-0.17,0.04,-0.75,0.02,-0.07
42,0.90,0.03,-0.02,-0.38,-0.69,-0.68,0.07,-0.06
43,0.57,0.02,0.05,-0.38,-1.26,-0.51,0.10,-0.06
44,0.00,0.02,0.01,0.04,-1.46,-0.28,0.10,-0.06
45,-0.74,0.02,-0.03,0.51,-1.24,-0.01,0.08,-0.07
46,-1.31,0.01,-0.06,0.61,-0.69,0.26,0.05,-0.08
47,-1.60,0.01,-0.01,0.34,-0.01,0.50,0.00,-0.09
48,-1.51,0.02,0.02,0.00,0.60,0.66,-0.05,-0.11
49,-0.92,0.02,0.01,-0.17,1.03,0.76,-0.07,-0.13
50,-0.19,0.02,0.08,-0.15,1.24,0.76,-0.07,-0.15
